Source,Year,Anomaly 1y,Anomaly 5y,Anomaly 10y,Unc 10y
1,1901,0.015,0.01,-0.162,0.109
1,1902,0.028,-0.017,-0.177,0.108
1,1903,0.049,-0.04,-0.199,0.104
1,1904,0.068,-0.04,-0.223,0.105
1,1905,0.128,-0.032,-0.241,0.107
1,1906,0.158,-0.022,-0.294,0.106
1,1907,0.167,0.012,-0.312,0.105
1,1908,0.193,0.007,-0.328,0.103
1,1909,0.186,0.002,-0.281,0.101
1,1910,0.217,0.002,-0.247,0.099
1,1911,0.235,-0.019,-0.243,0.097
1,1912,0.27,-0.001,-0.257,0.1
1,1913,0.318,0.017,-0.268,0.1
1,1914,0.344,0.004,-0.257,0.097
1,1915,0.352,-0.028,-0.249,0.095
1,1916,0.38,-0.006,-0.214,0.096
1,1917,0.37,-0.024,-0.201,0.096
1,1918,0.366,-0.019,-0.176,0.096
1,1919,0.433,0.01,-0.182,0.097
1,1920,-0.128,0.007,-0.193,0.097
1,1921,-0.075,0.015,-0.167,0.098
1,1922,-0.064,0.028,-0.128,0.096
1,1923,-0.065,0.049,-0.075,0.097
1,1924,-0.05,0.068,-0.064,0.098
1,1925,-0.02,0.128,-0.065,0.1
1,1926,-0.018,0.158,-0.05,0.1
1,1927,-0.026,0.167,-0.02,0.099
1,1928,-0.014,0.193,-0.018,0.099
1,1929,-0.047,0.186,-0.026,0.1
1,1930,-0.035,0.217,-0.014,0.101
1,1931,-0.017,0.235,-0.047,0.098
1,1932,0.02,0.27,-0.035,0.096
2,1933,0.053,0.318,-0.017,0.093
2,1934,0.063,0.344,0.02,0.092
2,1935,0.048,0.004,0.053,0.089
2,1936,0.073,-0.028,0.063,0.085
2,1937,0.113,-0.006,0.048,0.081
2,1938,0.113,-0.024,0.073,0.079
2,1939,-0.268,-0.041,0.113,0.076
2,1940,-0.257,-0.025,0.113,0.072
2,1941,-0.249,-0.019,0.134,0.071
2,1942,-0.214,0.01,0.134,0.069
2,1943,-0.201,0.007,0.127,0.07
2,1944,-0.176,0.015,0.111,0.068
2,1945,-0.182,0.028,0.072,0.066
2,1946,-0.193,0.049,0.035,0.066
2,1947,-0.167,0.068,0.042,0.064
2,1948,-0.128,0.128,0.045,0.063
2,1949,-0.075,0.158,0.013,0.062
2,1950,-0.064,0.167,0.01,0.058
2,1951,-0.065,0.193,-0.017,0.054
2,1952,-0.05,0.186,-0.04,0.047
2,1953,-0.02,0.217,-0.04,0.043
2,1954,-0.018,0.235,-0.032,0.038
2,1955,-0.026,0.27,-0.022,0.035
2,1956,-0.014,0.318,0.012,0.031
2,1957,-0.047,0.344,0.007,0.028
2,1958,-0.035,0.352,0.002,0.027
2,1959,-0.017,-0.162,0.002,0.026
2,1960,0.318,-0.177,-0.019,0.026
2,1961,0.344,-0.199,-0.001,0.021
2,1962,0.352,-0.223,0.017,0.018
2,1963,0.38,-0.241,0.004,0.016
2,1964,0.37,-0.294,-0.028,0.018
2,1965,0.366,-0.312,-0.006,0.017
2,1966,0.433,-0.328,-0.024,0.017
2,1967,0.467,-0.281,-0.041,0.019
2,1968,0.496,-0.247,-0.025,0.02
2,1969,0.217,-0.243,-0.019,0.024
2,1970,0.235,-0.257,0.01,0.026
2,1971,0.27,-0.268,0.007,0.022
2,1972,0.318,-0.257,0.015,0.015
2,1973,0.344,-0.249,0.028,0.012
2,1974,0.352,-0.214,0.049,0.014
2,1975,-0.162,-0.201,0.068,0.012
2,1976,-0.177,-0.176,0.128,0.011
3,1977,-0.199,-0.182,0.158,0.012
3,1978,-0.223,-0.193,0.167,0.013
3,1979,-0.241,-0.167,0.193,0.012
3,1980,-0.294,-0.128,0.186,0.016
3,1981,-0.312,-0.075,0.217,0.016
3,1982,-0.328,-0.064,0.235,0.014
3,1983,-0.281,-0.065,0.27,0.014
3,1984,-0.247,0.004,0.318,0.014
3,1985,-0.243,-0.028,0.344,0.013
3,1986,-0.257,-0.006,0.352,0.012
3,1987,-0.268,-0.024,0.38,0.011
3,1988,-0.257,-0.041,0.37,0.013
3,1989,-0.249,-0.025,0.366,0.017
3,1990,-0.214,-0.019,0.433,0.019
3,1991,-0.201,0.01,0.467,0.018
3,1992,-0.176,0.007,0.496,0.017
3,1993,-0.182,0.015,0.526,0.019
3,1994,-0.257,0.028,0.554,0.02
3,1995,-0.249,0.049,0.563,0.019
3,1996,-0.214,0.068,0.565,0.022
3,1997,-0.201,0.128,0.618,0.022
3,1998,-0.176,0.158,0.68,0.023
3,1999,-0.182,0.167,0.734,0.025
3,2000,-0.193,0.193,0.748,0.026
3,2001,-0.167,0.186,0.793,0.027
3,2002,-0.128,0.217,0.856,0.028
3,2003,-0.075,0.235,0.869,0.028
3,2004,-0.064,0.27,0.884,0.029
